
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
RuntimeBroker.exe            13020 Console                    1     10,804 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
chrome.exe                   26580 Console                    1     66,240 K Unknown         DESKTOP-R604OCC\User                                    0:01:18 N/A                                                                     
chrome.exe                   27196 Console                    1     34,460 K Unknown         DESKTOP-R604OCC\User                                    0:00:38 N/A                                                                     
chrome.exe                   29620 Console                    1    310,292 K Unknown         DESKTOP-R604OCC\User                                    0:03:05 N/A                                                                     
cmd.exe                      33520 Console                    1      4,412 K Running         DESKTOP-R604OCC\User                                    0:00:00 Administrator: Node.js command prompt                                   
conhost.exe                  34380 Console                    1     15,236 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
conhost.exe                  22804 Console                    1     14,236 K Running         DESKTOP-R604OCC\User                                    0:00:56 N/A                                                                     
chrome.exe                   11080 Console                    1    192,776 K Unknown         DESKTOP-R604OCC\User                                    0:00:45 N/A                                                                     
git.exe                      33740 Console                    1      9,004 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
sh.exe                       20204 Console                    1      9,292 K Unknown         DESKTOP-R604OCC\User                                    0:00:27 N/A                                                                     
vim.exe                      16960 Console                    1      9,952 K Running         DESKTOP-R604OCC\User                                    0:02:22 Windows PowerShell ISE                                                  
powershell_ise.exe           25252 Console                    1    133,820 K Running         DESKTOP-R604OCC\User                                    0:00:12 Windows PowerShell ISE                                                  
conhost.exe                  33888 Console                    1     14,620 K Running         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
chrome.exe                   19984 Console                    1     72,208 K Unknown         DESKTOP-R604OCC\User                                    0:02:47 N/A                                                                     
net_updater64.exe            33400 Services                   0     66,808 K Unknown         N/A                                                     0:06:04 N/A                                                                     
pycharm64.exe                32472 Console                    1  2,115,584 K Running         DESKTOP-R604OCC\User                                    0:31:50 got_script.py - got_script.py                                           
fsnotifier.exe               13580 Console                    1      2,580 K Unknown         DESKTOP-R604OCC\User                                    0:00:08 N/A                                                                     
conhost.exe                  13812 Console                    1      5,984 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
chrome.exe                   10736 Console                    1     48,276 K Unknown         DESKTOP-R604OCC\User                                    0:01:38 N/A                                                                     
chrome.exe                    6964 Console                    1     63,184 K Unknown         DESKTOP-R604OCC\User                                    0:00:03 N/A                                                                     
chrome.exe                   32396 Console                    1     23,276 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
chrome.exe                   25468 Console                    1    446,520 K Unknown         DESKTOP-R604OCC\User                                    0:07:53 N/A                                                                     
svchost.exe                  13748 Services                   0     16,732 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                  21932 Services                   0     18,296 K Unknown         N/A                                                     0:00:14 N/A                                                                     
Microsoft.Photos.exe         26856 Console                    1      4,188 K Running         DESKTOP-R604OCC\User                                    0:00:02 OleMainThreadWndName                                                    
RuntimeBroker.exe            34784 Console                    1     35,204 K Running         DESKTOP-R604OCC\User                                    0:00:02 N/A                                                                     
chrome.exe                    9164 Console                    1    192,948 K Unknown         DESKTOP-R604OCC\User                                    0:01:16 N/A                                                                     
svchost.exe                   5828 Services                   0     16,152 K Unknown         N/A                                                     0:00:01 N/A                                                                     
steamwebhelper.exe           20052 Console                    1     42,560 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
chrome.exe                   28412 Console                    1    204,376 K Unknown         DESKTOP-R604OCC\User                                    0:01:25 N/A                                                                     
chrome.exe                   32596 Console                    1    504,104 K Unknown         DESKTOP-R604OCC\User                                    0:02:10 N/A                                                                     
chrome.exe                   30816 Console                    1     63,476 K Unknown         DESKTOP-R604OCC\User                                    0:00:01 N/A                                                                     
chrome.exe                   26812 Console                    1     75,180 K Unknown         DESKTOP-R604OCC\User                                    0:00:03 N/A                                                                     
chrome.exe                    4916 Console                    1     57,276 K Running         DESKTOP-R604OCC\User                                    0:00:03 N/A                                                                     
chrome.exe                    9596 Console                    1     57,056 K Running         DESKTOP-R604OCC\User                                    0:00:03 N/A                                                                     
WINWORD.EXE                   9232 Console                    1    115,112 K Running         DESKTOP-R604OCC\User                                    0:00:07 Макроэкономика Вопросы к экзамену.docx - Word                           
notepad.exe                   7320 Console                    1     18,712 K Running         DESKTOP-R604OCC\User                                    0:00:07 Тема 6.txt - Блокнот                                                    
chrome.exe                   20700 Console                    1     84,060 K Unknown         DESKTOP-R604OCC\User                                    0:00:14 N/A                                                                     
chrome.exe                   17308 Console                    1     96,112 K Unknown         DESKTOP-R604OCC\User                                    0:00:19 N/A                                                                     
chrome.exe                   30168 Console                    1     88,320 K Unknown         DESKTOP-R604OCC\User                                    0:00:12 N/A                                                                     
